Banteng ohh bantengg,Satire
Madura pride 🔥,Positif
"Wadas, Rempang, Kanjuruhan, 349T, Harun masiku yg menunggu pendekar hukum.",Satire
Salam 349T.... berita booming yg hilang ditelan bumi. MERDEKA!!!!!!,Satire
"Wkwkwkww  Apa kabar Itu cerita 349 T, apakah hoax atau legenda????",Satire
"Jangan cerita Wong CILIK lah kalian, selama 10 ini wong ciliik aja gorengan kalian. Tapi wong cilik jg yg tertindas dimana2. Ada otak kalian g???",Negatif
orang asli Madura yg g laku di tempatnya.. tenggelamkan,Negatif
Masyarakat Rempang bagaimana kabarnya? Mumpung ada pendekar hukum dan pembela wong cilik,Satire
Mohon maaf pak Mahfud setelah gabung PDIP .....gak mungkin mendukung....,Negatif
Kagak ngefek ke suara GP..,Satire
Piye kbare 349 T? sepi mas bro .......,Satire
Pendekar yg sdh lupa dg jurus-jurusnya,Satire
"Kok baru dengar lagi istilah wong cilik, oh iya sudah dekat pemilu ya wkwkkwk",Satire
Jejak digital..jangan melawan pemerintah sekalipun pemerintah salah.. Wow..pantas selama ini mukidi bebas. https://t.co/hk2j5oA55u,Satire
Men seng nyeng sa ra kan masyarakat,Satire
"Mahfud gila jabatan, dulu cawapres jokowi, sudah jait jas, ehh gagal, kini sama ganjar, ngga ada rotan akarpun jadi. Kalau prabowo sudah kadaluarsa! Ganjar bangun gedung bioskop seluruh Indonesia.",Negatif
"Saya salut dengan tracrecord pak @mohmahfudmd apalagi sesama warga NU, tidak mengurangi rasa hormat saya mohon maaf kali ini tidak memilih Bapak karena bergabung dengan partai yang  'rakyat dan kemiskinan' hanya sebagai slogan",Negatif
"Ogah punya wapres nanti kerjaannya cuma bikin teka-teki, inisial ini itu, gak ada penyelesaian. Dan satu lagi berhenti bawa jargon wong cilik. Partai anda gagal meningkatkan taraf hidup wong cilik.",Negatif
Sudah jadi iblis kah ?,Satire
Yang 349 T sampai dimana @mohmahfudmd ?,Satire
"Terkenal  hobi melempar issue di medsos, abis itu kabur..cocot doank 🤣 kartu mati!!",Satire
"Siap Bos ku , sama2 kita menangkan Pak Anies dan Muhaimin untuk menjadi Presiden RI 2024 , jika masuk putaran ke 2",Netral
"Muak dengar slogan Wong cilik, faktanya 10 thn PDIP berkuasa wong cilik hanya dibutuhkan suaranya doang. Bbm berkali-kali naik, pupuk subsidi sulit didpt.",Negatif
"bu mega luar biasa, dia tau apa yg Ganjar mau, mereka sama sama pencinta bokep..😄😄😄 https://t.co/P30EKOyYOe",Satire
349 T kumaha ?🤣,Satire
"Pak Ganjar dn pak Mahfud smg sll diberi kesehatan , shg smp masa pemilu dn terpilih presiden dn wakil presiden terima amanah rakyat.",Positif
Wong cilik lagi susah…sembako naik..bbm naik…kena gusur…bayar hutang…cari kerja susah…ekonomi hancur…pendekarnya mana…,Satire
2024 kami tak memilih calon dari partai banteng,Satire
"Kalau pendekar hukum coba buru Harun masiku,, baru pendekar namanya",Satire
"track record anda pak mahfud harun masiku, 349T transaksi mencurigakan di kemenkeu, UU cilaka, kanjuruhan : semuanya kagak jelas",Satire
Klu sdh masuk istana malaikatpun akan jadi iblis..klu sdh jadi wapres jadi raja iblis...😄,Satire
3-4-9-T melempem. Pendekar karbitan !!!!,Satire
"Selamat pak @mohmahfudmd  Semoga Bpk diberi Kesehatan &amp  umur panjang, sehingga kelak bisa merasakan Sakitnya Kalah di Pilpres. Bpk tetep dosenku, tp MAAF... (demi menyelamatkan"" Bpk dr lingkaran yg mengerikan): Kami tak memilih bapak!🙏🙏""",Satire
"Dulu ada yg bilang, malaikat akan jadi iblis kalo masuk ke sistem negara Konoha, sekarang gabung Redbull racing, emang omongan adalah doa ya temen² ati²",Satire
Tidak malu masih pakai istilah Wong Cilik ? Hampir 10 thn berkuasa BBM naik gila2an dan wong cilik semakin sengsara kalian DIAM. Fck off all of you,Satire
Kerennnn ....,Positif
"Apakah bisa Ganjar-Mahfud menengahi perang PALESTINA, Israel, Libanon dan Suriah, sedangkan untuk masuk ke forum PBB atau forum internasional butuh kecakapan dalam bahasa mereka. Barang siapa tidak mengerti bahasa suatu kaum, maka tidak akan selamat dr tipu daya mereka !",Satire
"Pembela wong cilik bagaimana yg di maksud? Sampai sekarang kasus Kanjuruhan belum menemukan Keadilan dan pak Mahfud MD sebagai pimpinan TGIPF Tragedi Kanjuruhan yg di tunjuk presiden, sampai skarang belum bisa menyelesaikan hal tersebut. Pembela wong cilik bagaimana yg di maksud?",Satire
Saya suka dengan Sosok Prof. Mahfud MD tapi tdk suka dengan Partai Banteng ini. Lebih baik Prabowo Subianto jadi RI 01. Dari pada Benteng pimpin terus mau di bawah kemana negara ini,Netral
tenggelam pdip,Negatif
Cukup sudah untuk @PDI_Perjuangan ! Tidak Sekali Lagi TIDAK !,
"Berkiprah dengan sangat epik di 3 Lembaga Tinggi Negara. Prestasi yang sangat sulit di imbangi apalagi di lampaui.Mas @ganjarpranowo ahli pemerintahan, Prof.@mohmahfudmd ahli hukum dan memiliki Power religiuitas luarbiasa,terutama dr mayoritas Nahdliyin.Ibu Mega,Maturnuwun",Positif
"Kasihan mas Ganjarnya. Pak Mahfud ini ga punya hoki kl urusan copras-capres. Kl kata org jadul, ga punya wahyu keprabon. Th  2014 gagal sbg ketua tim pemenangan capres Prabowo. Th. 2019 gagal jadi cawapre. Th. 2024 sptnya bakalan gagal sbg wapres.",Satire
